name,time,value
temp,1704828172688237802,16.0
temp,1704828233041739971,16.0
temp,1704828293243107671,16.0
temp,1704828353659739837,16.0
temp,1704828413973099606,15.9
temp,1704828474274348970,15.9
temp,1704828534523510761,15.9
temp,1704828594651163957,15.9
temp,1704828655151563115,15.9
temp,1704828715180909999,15.8
temp,1704828775589002625,15.8
temp,1704828835984417733,15.8
temp,1704828896187293373,15.8
temp,1704828956536641473,15.8
temp,1704829016787838614,15.8
temp,1704829076882263213,15.8
temp,1704829137409439202,15.8
temp,1704829197477696578,15.8
temp,1704829257852425624,15.8
temp,1704829318102698827,15.8
temp,1704829378306255384,15.8
temp,1704829438702745912,15.8
temp,1704829499032687701,15.8
temp,1704829559234703181,15.8
temp,1704829619510048992,15.8
temp,1704829679818281133,15.8
temp,1704829740235576890,15.7
temp,1704829792333901052,1
temp,1704829792397929606,2
temp,1704829800312817096,15.7
temp,1704829860657578928,15.7
temp,1704829920847773738,15.8
temp,1704829981192923899,15.7
temp,1704830041498886361,15.7
temp,1704830101777910463,15.7
temp,1704830162027920593,15.7
temp,1704830222333216147,15.6
temp,1704830282652854605,15.7
temp,1704830342873362462,15.7
temp,1704830403188496882,15.7
temp,1704830463509591323,15.7
temp,1704830523717001159,15.7
temp,1704830584186505000,15.7
temp,1704830644439532334,15.8
temp,1704830704715985473,15.7
temp,1704830764925565135,15.7
temp,1704830825300758990,15.7
temp,1704830885494064133,15.7
temp,1704830945699269582,15.7
temp,1704831006123121290,15.6
temp,1704831066230531525,15.6
temp,1704831126684386502,15.6
temp,1704831186903010632,15.6
temp,1704831247260963719,15.6
temp,1704831307456482918,15.6
temp,1704831367600870009,15.6
temp,1704831428111853984,15.7
temp,1704831488262425103,15.7
temp,1704831548539543080,15.7
temp,1704831608939829593,15.7
temp,1704831669194374805,15.7
temp,1704831729327695183,15.7
temp,1704831789726525284,15.7
temp,1704831849929046484,15.7
temp,1704831910323382188,15.7
temp,1704831970429814875,15.7
temp,1704832030852765880,15.7
temp,1704832091150072587,15.7
temp,1704832151506083521,15.7
temp,1704832211540215853,15.7
temp,1704832272036433531,15.6
temp,1704832332361569656,15.6
temp,1704832392515845769,15.6
temp,1704832452823180461,15.6
temp,1704832513192031962,15.6
temp,1704832573198111125,15.6
temp,1704832633724375147,15.6
temp,1704832694021293380,15.6
temp,1704832754323304793,15.6
temp,1704832814434219941,15.6
temp,1704832874778145826,15.6
temp,1704832935203321248,15.6
temp,1704832995359404582,15.6
temp,1704833055762029861,15.6
temp,1704833115909359556,15.6
temp,1704833176139037455,15.6
temp,1704833236468314550,15.6
temp,1704833296789896219,15.6
temp,1704833356967013394,15.6
temp,1704833417157685458,15.6
temp,1704833477545869560,15.6
temp,1704833537882366328,15.6
temp,1704833598326829250,15.6
temp,1704833658489206961,15.6
temp,1704833718676130343,15.6
temp,1704833778983507254,15.6
temp,1704833839230813071,15.6
temp,1704833899672265081,15.6
temp,1704833959757195745,15.6
temp,1704834020168225865,15.6
temp,1704834080503595628,15.6
temp,1704834140838489741,15.6
temp,1704834200915652130,15.5
temp,1704834261372353874,15.5
temp,1704834321494639513,15.6
temp,1704834381920956809,15.5
temp,1704834442160269250,15.5
temp,1704834502225351569,15.5
temp,1704834562502673698,15.5
temp,1704834623079703071,15.5
temp,1704834683178121249,15.5
temp,1704834743481143473,15.5
temp,1704834803908143489,15.5
temp,1704834864086469753,15.5
temp,1704834924476197533,15.5
temp,1704834984629333150,15.5
temp,1704835044861100555,15.5
temp,1704835105240777260,15.5
temp,1704835165393223356,15.5
temp,1704835225847989445,15.5
temp,1704835286047298618,15.5
temp,1704835346225591818,15.5
temp,1704835406575696660,15.5
temp,1704835466947189682,15.5
temp,1704835527277585148,15.4
temp,1704835587555857351,15.5
temp,1704835647731907951,15.4
temp,1704835708018182120,15.5
temp,1704835768355072598,15.5
temp,1704835828566113452,15.5
temp,1704835888713804282,15.5
temp,1704835949267992101,15.5
temp,1704836009341315262,15.5
temp,1704836069674315518,15.5
temp,1704836129996598486,15.5
temp,1704836190371380848,15.4
temp,1704836250428182681,15.4
temp,1704836310828974865,15.4
temp,1704836371081665454,15.4
temp,1704836431430595717,15.4
temp,1704836491605681369,15.4
temp,1704836551857480762,15.4
temp,1704836612289748462,15.4
temp,1704836672552408955,15.4
temp,1704836732660603772,15.4
temp,1704836793018631863,15.5
temp,1704836853325723275,15.5
temp,1704836913546553108,15.5
temp,1704836973819479286,15.5
temp,1704837034135301208,15.5
temp,1704837094449031261,15.5
temp,1704837154900410778,15.5
temp,1704837214901889860,15.4
temp,1704837275355907862,15.5
temp,1704837335465547671,15.5
temp,1704837395819895931,15.5
temp,1704837456226106212,15.5
temp,1704837516545801919,15.4
temp,1704837576590051696,15.5
temp,1704837637013879984,15.4
temp,1704837697371608401,15.4
temp,1704837757430468763,15.4
temp,1704837817801086885,15.4
temp,1704837878146439427,15.4
temp,1704837938272738300,15.4
temp,1704837998825277590,15.4
temp,1704838058962527397,15.4
temp,1704838119182462227,15.4
temp,1704838179526905173,15.4
temp,1704838239928992419,15.4
temp,1704838300220758899,15.4
temp,1704838360427217289,15.4
temp,1704838420710724222,15.4
temp,1704838480916788532,15.4
temp,1704838541395548550,15.4
temp,1704838601591410680,15.4
temp,1704838661869972653,15.4
temp,1704838722049526461,15.4
temp,1704838782226313912,15.4
temp,1704838842576353407,15.4
temp,1704838902940082791,15.4
temp,1704838963178848491,15.4
temp,1704839023471254923,15.4
temp,1704839083907031062,15.4
temp,1704839144236084439,15.4
temp,1704839204283542599,15.4
temp,1704839264587252103,15.4
temp,1704839324898298085,15.4
temp,1704839385113415774,15.4
temp,1704839445542540890,15.4
temp,1704839505744356661,15.4
temp,1704839566085119005,15.4
temp,1704839626297368134,15.4
temp,1704839686681270404,15.4
temp,1704839746825193622,15.4
temp,1704839807007907260,15.4
temp,1704839867552917201,15.4
temp,1704839927609581547,15.4
temp,1704839987916926634,15.4
temp,1704840048359329439,15.4
temp,1704840108508763906,15.4
temp,1704840168834507093,15.4
temp,1704840229281803998,15.3
temp,1704840289524223562,15.3
temp,1704840349667073213,15.3
temp,1704840409875625171,15.3
temp,1704840470258892742,15.3
temp,1704840530623647030,15.3
temp,1704840590807274233,15.3
temp,1704840650978040683,15.3
temp,1704840711450742249,15.3
temp,1704840771629289358,15.3
temp,1704840832064222720,15.3
temp,1704840892381873755,15.3
temp,1704840952458194014,15.3
temp,1704841012932999843,15.3
temp,1704841073050337229,15.3
temp,1704841133354030119,15.3
temp,1704841193743677563,15.3
temp,1704841253823317536,15.3
temp,1704841314271555052,15.3
temp,1704841374397979798,15.3
temp,1704841434660492673,15.3
temp,1704841494952603840,15.3
temp,1704841555352616851,15.3
temp,1704841615632803275,15.3
temp,1704841675880553134,15.3
temp,1704841736134964303,15.3
temp,1704841796343909091,15.3
temp,1704841856837772065,15.3
temp,1704841916861867623,15.3
temp,1704841977317512939,15.3
temp,1704842037730807239,15.3
temp,1704842097717701973,15.3
temp,1704842158052848150,15.3
temp,1704842218371478526,15.3
temp,1704842278750977953,15.3
temp,1704842339101964005,15.3
temp,1704842399252213713,15.3
temp,1704842459415755201,15.3
temp,1704842519906504834,15.3
temp,1704842580205627919,15.3
temp,1704842640465235332,15.3
temp,1704842700684735298,15.3
temp,1704842760836402158,15.3
temp,1704842821201002372,15.3
temp,1704842881616161695,15.3
temp,1704842941928272163,15.3
temp,1704843002168856758,15.3
temp,1704843062313981244,15.3
temp,1704843122646466926,15.3
temp,1704843182802702872,15.3
temp,1704843243191526983,15.3
temp,1704843303609139743,15.3
temp,1704843363685127908,15.3
temp,1704843424147146949,15.3
temp,1704843484188776850,15.3
temp,1704843544686047777,15.3
temp,1704843604743908552,15.3
temp,1704843665137194481,15.3
temp,1704843725498045308,15.3
temp,1704843785715959241,15.3
temp,1704843845923460832,15.3
temp,1704843906397960831,15.3
temp,1704843966425415687,15.3
temp,1704844026976550412,15.3
temp,1704844087074980982,15.3
temp,1704844147351620461,15.3
temp,1704844207665252747,15.2
temp,1704844267962617137,15.2
temp,1704844328406839581,15.3
temp,1704844388591562604,15.2
temp,1704844448833995521,15.2
temp,1704844509285138726,15.2
temp,1704844569386487011,15.2
temp,1704844629720916157,15.2
temp,1704844690017418090,15.2
temp,1704844750324568321,15.2
temp,1704844810570782755,15.2
temp,1704844870746045831,15.2
temp,1704844931242616110,15.2
temp,1704844991278295071,15.2
temp,1704845052722565031,15.2
temp,1704845111979974858,15.2
temp,1704845172058882419,15.2
temp,1704845232559444292,15.2
temp,1704845292636892056,15.2
temp,1704845353037497927,15.2
temp,1704845413495893172,15.2
temp,1704845473690083312,15.2
temp,1704845533931196512,15.2
temp,1704845594247397951,15.2
temp,1704845654651416424,15.2
temp,1704845714698222294,15.2
temp,1704845774952572262,15.2
temp,1704845835399926443,15.2
temp,1704845895601651961,15.2
temp,1704845956031653776,15.2
temp,1704846016082857918,15.1
temp,1704846076435646111,15.1
temp,1704846136683569762,15.1
temp,1704846196885489819,15.2
temp,1704846257311657468,15.2
temp,1704846317689222852,15.1
temp,1704846377785114874,15.1
temp,1704846437972588689,15.1
temp,1704846498542459878,15.1
temp,1704846558549225895,15.2
temp,1704846619069266130,15.2
temp,1704846679299607418,15.2
temp,1704846739505794016,15.2
temp,1704846799844881869,15.2
temp,1704846860034189359,15.2
temp,1704846920299741935,15.2
temp,1704846980637005869,15.1
temp,1704847040924347724,15.1
temp,1704847101073148623,15.1
temp,1704847161664452104,15.1
temp,1704847221916119603,15.1
temp,1704847281918446370,15.1
temp,1704847342394695914,15.1
temp,1704847402769230121,15.2
temp,1704847462976472403,15.1
temp,1704847523199960789,15.1
temp,1704847583575489718,15.1
temp,1704847643601721439,15.2
temp,1704847703949092183,15.1
temp,1704847764313923337,15.1
temp,1704847824657815339,15.1
temp,1704847884741648580,15.1
temp,1704847945022965258,15.1
temp,1704848005373098571,15.1
temp,1704848065754696894,15.1
temp,1704848126039778800,15.1
temp,1704848186175435792,15.1
temp,1704848246611485733,15.1
temp,1704848306879271262,15.1
temp,1704848367115059990,15.1
temp,1704848427475688942,15.1
temp,1704848487700963653,15.1
temp,1704848548039877686,15.1
temp,1704848608199745312,15.1
temp,1704848668494478180,15.0
temp,1704848728779289100,15.0
temp,1704848789136376059,15.0
temp,1704848849387409928,15.0
temp,1704848909716232700,15.1
temp,1704848969911608615,15.0
temp,1704849030341651010,15.0
temp,1704849090677632410,15.0
temp,1704849150849158887,15.0
temp,1704849211107300443,15.0
temp,1704849271475627203,15.0
temp,1704849331710035791,15.0
temp,1704849392069017670,15.0
temp,1704849452388487673,15.0
temp,1704849512656958982,15.0
temp,1704849572695047545,15.0
temp,1704849633091190588,15.0
temp,1704849693286736611,15.0
temp,1704849753563015403,15.0
temp,1704849813938617464,15.0
temp,1704849874143722748,15.0
temp,1704849934483528770,15.0
temp,1704849994895651867,15.0
temp,1704850054911343551,15.0
temp,1704850115279179169,15.0
temp,1704850175752928153,15.0
temp,1704850236009858066,15.0
temp,1704850296141644421,15.0
temp,1704850356459960407,15.1
temp,1704850416669129559,15.0
temp,1704850476932374743,15.0
temp,1704850537441281343,15.0
temp,1704850597539736957,15.0
temp,1704850657873087608,15.0
temp,1704850718162741017,15.0
temp,1704850778497792716,15.0
temp,1704850838598890331,15.0
temp,1704850898924011736,15.0
temp,1704850959390813844,15.0
temp,1704851019405178970,15.0
